baseline_model,method,prompt_image_type,Question/Category,VLM Probability of Agreement,VLM Probability of Agreement Std Error,VLM Weighted Probability of Agreement,VLM Weighted Probability of Agreement Std Error,Human Probability of Agreement,Human Probability of Agreement Std Error,Human Weighted Probability of Agreement,Human Weighted Probability of Agreement Std Error,Human Oracle Probability of Agreement,Human Oracle Probability of Agreement Std Error,Human Oracle Weighted Probability of Agreement,Human Oracle Weighted Probability of Agreement Std Error,Number of Samples,Experiment Folder
gpt-5-nano,cot,img_with_bev,All,0.3,0.0,0.44,0.01,0.6,0.0,0.8,0.0,0.74,0.0,1.0,0.0,4968,experiment_3_gemini-2.5-flash-lite_cot
gpt-5-nano,cot,img_with_bev,Spatial reasoning,0.41,0.01,0.6,0.01,0.56,0.01,0.79,0.0,0.71,0.0,1.0,0.0,1317,experiment_3_gemini-2.5-flash-lite_cot
gpt-5-nano,cot,img_with_bev,Spatiotemporal reasoning,0.31,0.01,0.47,0.01,0.59,0.01,0.8,0.0,0.73,0.01,1.0,0.0,858,experiment_3_gemini-2.5-flash-lite_cot
gpt-5-nano,cot,img_with_bev,Social reasoning,0.24,0.01,0.36,0.01,0.62,0.0,0.81,0.0,0.76,0.0,1.0,0.0,2793,experiment_3_gemini-2.5-flash-lite_cot
gpt-5-nano,cot,img_with_bev,q_robot_moving_direction,0.62,0.04,0.87,0.03,0.52,0.03,0.74,0.02,0.69,0.03,1.0,0.0,60,experiment_3_gemini-2.5-flash-lite_cot
gpt-5-nano,cot,img_with_bev,q_person_spatial_position_begin,0.49,0.01,0.78,0.02,0.46,0.01,0.73,0.0,0.64,0.01,1.0,0.0,399,experiment_3_gemini-2.5-flash-lite_cot
gpt-5-nano,cot,img_with_bev,q_person_spatial_position_end,0.32,0.01,0.53,0.02,0.43,0.01,0.71,0.01,0.61,0.01,1.0,0.0,399,experiment_3_gemini-2.5-flash-lite_cot
gpt-5-nano,cot,img_with_bev,q_person_distance_change,0.27,0.01,0.47,0.02,0.46,0.01,0.74,0.0,0.63,0.01,1.0,0.0,399,experiment_3_gemini-2.5-flash-lite_cot
gpt-5-nano,cot,img_with_bev,q_goal_position_begin,0.75,0.03,0.93,0.02,0.68,0.03,0.85,0.01,0.8,0.02,1.0,0.0,60,experiment_3_gemini-2.5-flash-lite_cot
gpt-5-nano,cot,img_with_bev,q_goal_position_end,0.71,0.03,0.91,0.03,0.62,0.02,0.82,0.01,0.77,0.02,1.0,0.0,60,experiment_3_gemini-2.5-flash-lite_cot
gpt-5-nano,cot,img_with_bev,q_obstructing_path,0.3,0.01,0.4,0.02,0.73,0.01,0.88,0.0,0.83,0.01,1.0,0.0,399,experiment_3_gemini-2.5-flash-lite_cot
gpt-5-nano,cot,img_with_bev,q_obstructing_end_position,0.33,0.02,0.41,0.02,0.77,0.01,0.89,0.0,0.86,0.01,1.0,0.0,399,experiment_3_gemini-2.5-flash-lite_cot
gpt-5-nano,cot,img_with_bev,q_robot_affected,0.27,0.01,0.38,0.02,0.72,0.01,0.87,0.0,0.82,0.01,1.0,0.0,399,experiment_3_gemini-2.5-flash-lite_cot
gpt-5-nano,cot,img_with_bev,q_robot_action,0.19,0.01,0.32,0.02,0.5,0.01,0.74,0.01,0.67,0.01,1.0,0.0,399,experiment_3_gemini-2.5-flash-lite_cot
gpt-5-nano,cot,img_with_bev,q_person_affected,0.36,0.02,0.46,0.02,0.74,0.01,0.88,0.0,0.84,0.01,1.0,0.0,399,experiment_3_gemini-2.5-flash-lite_cot
gpt-5-nano,cot,img_with_bev,q_person_action,0.28,0.01,0.43,0.02,0.56,0.01,0.77,0.01,0.72,0.01,1.0,0.0,399,experiment_3_gemini-2.5-flash-lite_cot
gpt-5-nano,cot,img_with_bev,q_robot_suggested_affected,0.24,0.01,0.33,0.02,0.73,0.01,0.88,0.0,0.84,0.01,1.0,0.0,399,experiment_3_gemini-2.5-flash-lite_cot
gpt-5-nano,cot,img_with_bev,q_robot_suggested_action,0.13,0.01,0.23,0.01,0.53,0.01,0.75,0.01,0.7,0.01,1.0,0.0,399,experiment_3_gemini-2.5-flash-lite_cot
gpt-5-nano,cot,img_with_bev,q_human_future_action_prediction,0.25,0.01,0.38,0.02,0.54,0.01,0.76,0.01,0.71,0.01,1.0,0.0,399,experiment_3_gemini-2.5-flash-lite_cot
