Experiment Folder,baseline_model,method,prompt_image_type,Base Question,Reasoning Group,answer_1,answer_2,answer_3,answer_4,answer_5,answer_6,answer_7,answer_8,answer_9,answer_10,answer_11,answer_12,answer_13,answer_14,answer_15,answer_16,answer_17,answer_18,answer_19,answer_20,answer_21,answer_22,answer_23,answer_24,answer_25,answer_26,answer_27,answer_28,answer_29
experiment_3_gemini-2.5-flash-lite_cot,gpt-5-nano,cot,img_with_bev,q_robot_moving_direction,Spatiotemporal reasoning,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
experiment_3_gemini-2.5-flash-lite_cot,gpt-5-nano,cot,img_with_bev,q_person_spatial_position_begin,Spatial reasoning,0,0,0,0,0,0,0,0,0,0.9448621553884712,0,0,0.02506265664160401,0,0,0,0,0,0,0,0,0,0,0.015037593984962405,0,0.015037593984962405,0,0,0
experiment_3_gemini-2.5-flash-lite_cot,gpt-5-nano,cot,img_with_bev,q_person_spatial_position_end,Spatial reasoning,0,0,0,0,0,0,0,0,0,0.8771929824561403,0,0,0.10275689223057644,0,0,0,0,0,0,0,0,0,0,0.007518796992481203,0,0.012531328320802004,0,0,0
experiment_3_gemini-2.5-flash-lite_cot,gpt-5-nano,cot,img_with_bev,q_person_distance_change,Spatiotemporal reasoning,0,0,0,0,0,0,0,0.7894736842105263,0,0,0,0,0,0.07769423558897243,0,0,0.13283208020050125,0,0,0,0,0,0,0,0,0,0,0,0
experiment_3_gemini-2.5-flash-lite_cot,gpt-5-nano,cot,img_with_bev,q_goal_position_begin,Spatial reasoning,0,0,0,0,0,0,0,0,0.9833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016666666666666666,0,0.0,0,0,0,0
experiment_3_gemini-2.5-flash-lite_cot,gpt-5-nano,cot,img_with_bev,q_goal_position_end,Spatial reasoning,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03333333333333333,0,0.06666666666666667,0,0,0,0
experiment_3_gemini-2.5-flash-lite_cot,gpt-5-nano,cot,img_with_bev,q_obstructing_path,Spatiotemporal reasoning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08020050125313283,0,0,0,0,0,0,0,0,0.9172932330827067,0,0
experiment_3_gemini-2.5-flash-lite_cot,gpt-5-nano,cot,img_with_bev,q_obstructing_end_position,Spatial reasoning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20050125313283207,0,0,0,0,0,0,0,0,0.7969924812030075,0,0
experiment_3_gemini-2.5-flash-lite_cot,gpt-5-nano,cot,img_with_bev,q_robot_affected,Social reasoning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03508771929824561,0,0,0,0,0,0,0,0,0.9649122807017544,0,0
experiment_3_gemini-2.5-flash-lite_cot,gpt-5-nano,cot,img_with_bev,q_robot_action,Social reasoning,0,0,0,0,0,0,0,0,0,0,0,0.7017543859649122,0,0,0,0.0,0,0,0,0.03759398496240601,0,0.0,0,0,0,0,0,0,0.2606516290726817
experiment_3_gemini-2.5-flash-lite_cot,gpt-5-nano,cot,img_with_bev,q_person_affected,Social reasoning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23809523809523808,0,0,0,0,0,0,0,0,0.7593984962406015,0,0
experiment_3_gemini-2.5-flash-lite_cot,gpt-5-nano,cot,img_with_bev,q_person_action,Social reasoning,0,0,0,0,0,0,0,0,0,0,0,0.7117794486215538,0,0,0,0.002506265664160401,0,0,0,0.19298245614035087,0,0.0,0,0,0,0,0,0,0.09273182957393483
experiment_3_gemini-2.5-flash-lite_cot,gpt-5-nano,cot,img_with_bev,q_robot_suggested_affected,Social reasoning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03007518796992481,0,0,0,0,0,0,0,0,0.9699248120300752,0,0
experiment_3_gemini-2.5-flash-lite_cot,gpt-5-nano,cot,img_with_bev,q_robot_suggested_action,Social reasoning,0,0,0,0,0,0,0,0,0,0,0.6892230576441103,0,0,0,0.0,0,0,0,0.012531328320802004,0,0.005012531328320802,0,0,0,0,0,0,0.2932330827067669,0
experiment_3_gemini-2.5-flash-lite_cot,gpt-5-nano,cot,img_with_bev,q_human_future_action_prediction,Social reasoning,0,0,0,0,0,0,0,0,0,0,0.7117794486215538,0,0,0,0.002506265664160401,0,0,0,0.18295739348370926,0,0.0,0,0,0,0,0,0,0.10275689223057644,0
