Experiment Folder,baseline_model,method,prompt_image_type,Base Question,Reasoning Group,answer_1,answer_2,answer_3,answer_4,answer_5,answer_6,answer_7,answer_8,answer_9,answer_10,answer_11,answer_12,answer_13,answer_14,answer_15,answer_16,answer_17,answer_18,answer_19,answer_20,answer_21,answer_22,answer_23,answer_24,answer_25,answer_26,answer_27,answer_28,answer_29
experiment_8_qwen3vl_independent,gemini-2.0-flash-exp,cot,img_with_bev,q_robot_moving_direction,Spatiotemporal reasoning,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
experiment_8_qwen3vl_independent,gemini-2.0-flash-exp,cot,img_with_bev,q_person_spatial_position_begin,Spatial reasoning,0,0,0,0,0,0,0,0,0,0.44862155388471175,0,0,0.010025062656641603,0,0,0,0,0,0,0,0,0,0,0.2656641604010025,0,0.2756892230576441,0,0,0
experiment_8_qwen3vl_independent,gemini-2.0-flash-exp,cot,img_with_bev,q_person_spatial_position_end,Spatial reasoning,0,0,0,0,0,0,0,0,0,0.7418546365914787,0,0,0.020050125313283207,0,0,0,0,0,0,0,0,0,0,0.12280701754385964,0,0.11528822055137844,0,0,0
experiment_8_qwen3vl_independent,gemini-2.0-flash-exp,cot,img_with_bev,q_person_distance_change,Spatiotemporal reasoning,0,0,0,0,0,0,0,0.005012531328320802,0,0,0,0,0,0.5914786967418546,0,0,0.40350877192982454,0,0,0,0,0,0,0,0,0,0,0,0
experiment_8_qwen3vl_independent,gemini-2.0-flash-exp,cot,img_with_bev,q_goal_position_begin,Spatial reasoning,0,0,0,0,0,0,0,0,0.8333333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.16666666666666666,0,0,0,0
experiment_8_qwen3vl_independent,gemini-2.0-flash-exp,cot,img_with_bev,q_goal_position_end,Spatial reasoning,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.1,0,0,0,0
experiment_8_qwen3vl_independent,gemini-2.0-flash-exp,cot,img_with_bev,q_obstructing_path,Spatiotemporal reasoning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37844611528822053,0,0,0,0,0,0,0,0,0.6215538847117794,0,0
experiment_8_qwen3vl_independent,gemini-2.0-flash-exp,cot,img_with_bev,q_obstructing_end_position,Spatial reasoning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9473684210526315,0,0,0,0,0,0,0,0,0.05263157894736842,0,0
experiment_8_qwen3vl_independent,gemini-2.0-flash-exp,cot,img_with_bev,q_robot_affected,Social reasoning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.531328320802005,0,0,0,0,0,0,0,0,0.46867167919799496,0,0
experiment_8_qwen3vl_independent,gemini-2.0-flash-exp,cot,img_with_bev,q_robot_action,Social reasoning,0,0,0,0,0,0,0,0,0,0,0,0.2781954887218045,0,0,0,0.16541353383458646,0,0,0,0.2681704260651629,0,0.0,0,0,0,0,0,0,0.2882205513784461
experiment_8_qwen3vl_independent,gemini-2.0-flash-exp,cot,img_with_bev,q_person_affected,Social reasoning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8872180451127819,0,0,0,0,0,0,0,0,0.11278195488721804,0,0
experiment_8_qwen3vl_independent,gemini-2.0-flash-exp,cot,img_with_bev,q_person_action,Social reasoning,0,0,0,0,0,0,0,0,0,0,0,0.38095238095238093,0,0,0,0.13784461152882205,0,0,0,0.07268170426065163,0,0.002506265664160401,0,0,0,0,0,0,0.40601503759398494
experiment_8_qwen3vl_independent,gemini-2.0-flash-exp,cot,img_with_bev,q_robot_suggested_affected,Social reasoning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9323308270676691,0,0,0,0,0,0,0,0,0.06766917293233082,0,0
experiment_8_qwen3vl_independent,gemini-2.0-flash-exp,cot,img_with_bev,q_robot_suggested_action,Social reasoning,0,0,0,0,0,0,0,0,0,0,0.6842105263157895,0,0,0,0.06516290726817042,0,0,0,0.07017543859649122,0,0.002506265664160401,0,0,0,0,0,0,0.17794486215538846,0
experiment_8_qwen3vl_independent,gemini-2.0-flash-exp,cot,img_with_bev,q_human_future_action_prediction,Social reasoning,0,0,0,0,0,0,0,0,0,0,0.7969924812030075,0,0,0,0.010025062656641603,0,0,0,0.012531328320802004,0,0.0,0,0,0,0,0,0,0.18045112781954886,0
