Experiment Folder,baseline_model,method,prompt_image_type,Base Question,Reasoning Group,answer_1,answer_2,answer_3,answer_4,answer_5,answer_6,answer_7,answer_8,answer_9,answer_10,answer_11,answer_12,answer_13,answer_14,answer_15,answer_16,answer_17,answer_18,answer_19,answer_20,answer_21,answer_22,answer_23,answer_24,answer_25,answer_26,answer_27,answer_28,answer_29
experiment_3_gpt-5-nano_cot,gpt-5-nano,cot,img_with_bev,q_robot_moving_direction,Spatiotemporal reasoning,0.06666666666666667,0.0,0.016666666666666666,0.8833333333333333,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
experiment_3_gpt-5-nano_cot,gpt-5-nano,cot,img_with_bev,q_person_spatial_position_begin,Spatial reasoning,0,0,0,0,0,0,0,0,0,0.706766917293233,0,0,0.015037593984962405,0,0,0,0,0,0,0,0,0,0,0.13784461152882205,0,0.14035087719298245,0,0,0
experiment_3_gpt-5-nano_cot,gpt-5-nano,cot,img_with_bev,q_person_spatial_position_end,Spatial reasoning,0,0,0,0,0,0,0,0,0,0.7268170426065163,0,0,0.02756892230576441,0,0,0,0,0,0,0,0,0,0,0.12531328320802004,0,0.12030075187969924,0,0,0
experiment_3_gpt-5-nano_cot,gpt-5-nano,cot,img_with_bev,q_person_distance_change,Spatiotemporal reasoning,0,0,0,0,0,0,0,0.17042606516290726,0,0,0,0,0,0.5964912280701754,0,0,0.15288220551378445,0,0,0,0,0,0,0,0,0,0,0,0
experiment_3_gpt-5-nano_cot,gpt-5-nano,cot,img_with_bev,q_goal_position_begin,Spatial reasoning,0,0,0,0,0,0,0,0,0.8333333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11666666666666667,0,0.05,0,0,0,0
experiment_3_gpt-5-nano_cot,gpt-5-nano,cot,img_with_bev,q_goal_position_end,Spatial reasoning,0,0,0,0,0,0,0,0,0.7333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0,0.03333333333333333,0,0,0,0
experiment_3_gpt-5-nano_cot,gpt-5-nano,cot,img_with_bev,q_obstructing_path,Spatiotemporal reasoning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8045112781954887,0,0,0,0,0,0,0,0,0.19548872180451127,0,0
experiment_3_gpt-5-nano_cot,gpt-5-nano,cot,img_with_bev,q_obstructing_end_position,Spatial reasoning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8872180451127819,0,0,0,0,0,0,0,0,0.11278195488721804,0,0
experiment_3_gpt-5-nano_cot,gpt-5-nano,cot,img_with_bev,q_robot_affected,Social reasoning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6265664160401002,0,0,0,0,0,0,0,0,0.37092731829573933,0,0
experiment_3_gpt-5-nano_cot,gpt-5-nano,cot,img_with_bev,q_robot_action,Social reasoning,0,0,0,0,0,0,0,0,0,0,0,0.17042606516290726,0,0,0,0.05513784461152882,0,0,0,0.5488721804511278,0,0.002506265664160401,0,0,0,0,0,0,0.22055137844611528
experiment_3_gpt-5-nano_cot,gpt-5-nano,cot,img_with_bev,q_person_affected,Social reasoning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5037593984962406,0,0,0,0,0,0,0,0,0.49624060150375937,0,0
experiment_3_gpt-5-nano_cot,gpt-5-nano,cot,img_with_bev,q_person_action,Social reasoning,0,0,0,0,0,0,0,0,0,0,0,0.14035087719298245,0,0,0,0.015037593984962405,0,0,0,0.44110275689223055,0,0.02506265664160401,0,0,0,0,0,0,0.2982456140350877
experiment_3_gpt-5-nano_cot,gpt-5-nano,cot,img_with_bev,q_robot_suggested_affected,Social reasoning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.543859649122807,0,0,0,0,0,0,0,0,0.45614035087719296,0,0
experiment_3_gpt-5-nano_cot,gpt-5-nano,cot,img_with_bev,q_robot_suggested_action,Social reasoning,0,0,0,0,0,0,0,0,0,0,0.16040100250626566,0,0,0,0.05012531328320802,0,0,0,0.44862155388471175,0,0.002506265664160401,0,0,0,0,0,0,0.3383458646616541,0
experiment_3_gpt-5-nano_cot,gpt-5-nano,cot,img_with_bev,q_human_future_action_prediction,Social reasoning,0,0,0,0,0,0,0,0,0,0,0.15538847117794485,0,0,0,0.010025062656641603,0,0,0,0.3659147869674185,0,0.022556390977443608,0,0,0,0,0,0,0.44611528822055135,0
