Experiment Folder,baseline_model,method,prompt_image_type,Base Question,Reasoning Group,answer_1,answer_2,answer_3,answer_4,answer_5,answer_6,answer_7,answer_8,answer_9,answer_10,answer_11,answer_12,answer_13,answer_14,answer_15,answer_16,answer_17,answer_18,answer_19,answer_20,answer_21,answer_22,answer_23,answer_24,answer_25,answer_26,answer_27,answer_28,answer_29
experiment_6_navila_independent,navila,independent,img_with_bev,q_robot_moving_direction,Spatiotemporal reasoning,0.0,0.0,0.0,0.0,0.9333333333333333,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
experiment_6_navila_independent,navila,independent,img_with_bev,q_person_spatial_position_begin,Spatial reasoning,0,0,0,0,0,0,0,0,0,1.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0
experiment_6_navila_independent,navila,independent,img_with_bev,q_person_spatial_position_end,Spatial reasoning,0,0,0,0,0,0,0,0,0,1.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0
experiment_6_navila_independent,navila,independent,img_with_bev,q_person_distance_change,Spatiotemporal reasoning,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
experiment_6_navila_independent,navila,independent,img_with_bev,q_goal_position_begin,Spatial reasoning,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0
experiment_6_navila_independent,navila,independent,img_with_bev,q_goal_position_end,Spatial reasoning,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0
experiment_6_navila_independent,navila,independent,img_with_bev,q_obstructing_path,Spatiotemporal reasoning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1.0,0,0
experiment_6_navila_independent,navila,independent,img_with_bev,q_obstructing_end_position,Spatial reasoning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1.0,0,0
experiment_6_navila_independent,navila,independent,img_with_bev,q_robot_affected,Social reasoning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1.0,0,0
experiment_6_navila_independent,navila,independent,img_with_bev,q_robot_action,Social reasoning,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,0.0,0,0,0,0,0,0,0.0
experiment_6_navila_independent,navila,independent,img_with_bev,q_person_affected,Social reasoning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002506265664160401,0,0,0,0,0,0,0,0,0.9974937343358395,0,0
experiment_6_navila_independent,navila,independent,img_with_bev,q_person_action,Social reasoning,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,0.0,0,0,0,0,0,0,0.0
experiment_6_navila_independent,navila,independent,img_with_bev,q_robot_suggested_affected,Social reasoning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1.0,0,0
experiment_6_navila_independent,navila,independent,img_with_bev,q_robot_suggested_action,Social reasoning,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0
experiment_6_navila_independent,navila,independent,img_with_bev,q_human_future_action_prediction,Social reasoning,0,0,0,0,0,0,0,0,0,0,0.9949874686716792,0,0,0,0.0,0,0,0,0.0,0,0.005012531328320802,0,0,0,0,0,0,0.0,0
